name of bathing water,latitude,longitude,no. w/ lifeguard,covered,,name of covered beach,closest bathing water,Name of beach,-beach
Ainsdale,53.60238,-3.03791,1,1,,Ainsdale,Ainsdale,Aberdour-Silver Sands Beach,Aberdour-Silver Sands
Allonby,54.77565,-3.42976,0,0,,Bantham,Bantham,Aberporth Beach,Aberporth
Allonby South,54.77565,-3.42976,0,0,,Berrow,Berrow North of Unity Farm,North Beach (Aberystwyth),North Beach (Aberystwyth)
Amble Links,55.33065,-1.5679,0,0,,Bexhill,Bexhill,South Beach (Aberystwyth),South Beach (Aberystwyth)
Anderby,53.25481,0.284063,0,0,,Bigbury-on-Sea North,Bigbury-on-Sea North,Ainsdale Beach,Ainsdale
Anstey's Cove (Torquay),50.47,-3.501,0,0,,Sedgewell Cove Bigbury-on-Sea North,Bigbury-on-Sea North,,
Babbacombe,50.48,-3.509,0,0,,Bigbury-on-Sea South,Bigbury-on-Sea South,Alum Chine Beach (Bournemouth),Alum Chine Beach (Bournemouth)
Bamburgh Castle,55.611213,-1.707098,0,0,,burgh island,Bigbury-on-Sea South,Amroth Beach,Amroth
Bantham,50.27804,-3.86856,1,1,,central blackpool,Blackpool Central,Avon Beach (Christchurch),Avon Beach (Christchurch)
Beachlands Central,50.784122,-0.988626,0,0,,north blackpool,Blackpool North,Ballycastle Beach,Ballycastle
Beachlands West,50.7859,-0.98823,0,0,,Blackpool Sands,Blackpool Sands,Bantham Beach,Bantham
Beacon Cove,50.45993,-5.04067,0,0,,south blackpool,Blackpool South,Beach View Beach,Beach View
Beadnell,55.55883,-1.63423,0,0,,Blyth South,Blyth South Beach,Belvedere Beach,Belvedere
Beer,50.69958,-3.09417,0,0,,Bognor Regis,Bognor Regis East,Benone Strand Beach,Benone Strand
Bembridge,50.68596,-1.08352,0,0,,Botany Bay,Botany Bay (Broadstairs),Berrow Beach,Berrow
Berrow North of Unity Farm,51.28067,-3.01221,1,1,,Alum Chine Beach (Bournemouth),Bournemouth Alum Chine,Bexhill Beach,Bexhill
Bexhill,50.84991,0.466207,1,1,,Boscombe East,Bournemouth Boscombe Pier,Bigbury On Sea (North) Beach,Bigbury On Sea (North)
Bigbury-on-Sea North,50.28392,-3.8943,2,1,,Boscombe West,Bournemouth Boscombe Pier,Morfa Bychan - Black Rock Sands Beach,Morfa Bychan - Black Rock Sands
Bigbury-on-Sea South,50.28392,-3.8943,2,1,,Manor Steps,Bournemouth Boscombe Pier,Blackpool Sands Beach,Blackpool Sands
Birling Gap,50.74317,0.201049,0,0,,Durley Chine,Bournemouth Durley Chine,Bognor Regis Beach,Bognor Regis
Bispham,53.84945,-3.05322,0,0,,Fishermans Walk,Bournemouth Fisherman’s Walk,Boobys Beach,Boobys
Blackpool Central,53.80704,-3.04585,1,1,,East Cliff Beach (Bournemouth),Bournemouth Pier,Borth Beach,Borth
Blackpool North,53.81751,-3.03568,1,1,,Bournemouth West Beach West Cliff,Bournemouth Pier,Boscombe East Beach,Boscombe East
Blackpool Sands,50.3194,-3.6102,1,1,,Southbourne,Bournemouth Southbourne,Boscombe West Beach,Boscombe West
Blackpool South,53.81751,-3.03568,1,1,,breakwater beach,Breakwater Beach (Shoalstone),Botany Bay Beach,Botany Bay
Blue Anchor West,51.18672,-3.395627,0,0,,Bridlington North Beach,Bridlington North Beach,East Cliff Beach (Bournemouth),East Cliff Beach (Bourne
Blyth South Beach,55.11435,-1.49692,1,1,,Limekiln Lane,Bridlington North Beach,Bournemouth West Beach West Cliff,Bournemouth West Beach West Cliff
Bognor Regis (Aldwick),50.78367,-0.71099,0,0,,Bridlington South Beach,Bridlington South Beach,Branksome Chine Beach (Poole),Branksome Chine Beach (Poole)
Bognor Regis East,50.783,-0.67306,1,1,,brightlingsea,Brightlingsea,Bridlington Beach (North Beach),Bridlington Beach (North Beach)
Botany Bay (Broadstairs),51.38893,1.434648,1,1,,Brighton Pier East,Brighton Central,Bridlington Beach (South Beach),Bridlington Beach (South Beach)
Bournemouth Alum Chine,50.71242,-1.89892,1,1,,Brighton Pier West,Brighton Central,Broadhaven Beach,Broadhaven
Bournemouth Boscombe Pier,50.71934,-1.84307,3,1,,West Pier,Brighton Central,Broadstairs Viking Bay Beach,Broadstairs Viking Bay
Bournemouth Durley Chine,50.71855,-1.88971,1,1,,Duke's Mount/Nude Beach/Naturist Beach,Brighton Kemptown,Burnham-on-Sea Beach,Burnham-on-Sea
Bournemouth Fisherman’s Walk,50.72395,-1.8182,1,1,,Stone Bay,Broadstairs (Stone Bay),Burntisland Beach,Burntisland
Bournemouth Hengistbury West,50.71909,-1.76609,0,0,,Broadstairs Viking Bay,Broadstairs (Viking Bay),Camber Central Beach,Camber Central
Bournemouth Pier,50.71449,-1.87494,2,1,,east cliff broadstairs,Broadstairs (Stone Bay),Camber West Beach,Camber West
Bournemouth Southbourne,50.7243,-1.79429,1,1,,Crooklets,Bude Crooklets,Canford Cliffs Beach,Canford Cliffs
Bovisand,50.33558,-4.12044,0,0,,Northcott,Bude Sandy Mouth,Carbis Bay Beach,Carbis Bay
Bowleaze Cove,50.63612,-2.42833,0,0,,Sandymouth,Bude Sandy Mouth,Castlerock Beach,Castlerock
Bracklesham Bay,50.76032,-0.8551,0,0,,Summerleaze,Bude Summerleaze,Caswell Bay,Caswell Bay
Breakwater Beach (Shoalstone),50.39902,-3.5047,1,1,,Burnham-on-Sea,Burnham Jetty North,Cats And Dogs Beach,Cats And Dogs
Brean,51.29311,-3.01045,0,0,,Camber Central,Camber,Cayton Bay,Cayton Bay
Bridlington North Beach,54.08473,-0.18723,2,1,,Camber West,Camber,Challaborough Beach,Challaborough
